2015-05-14T04:17:06.425+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:18:06.427+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:19:06.427+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:20:06.426+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:21:06.427+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:22:06.428+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:23:06.429+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:24:06.428+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:25:06.430+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:26:06.430+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:27:06.430+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:28:06.429+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:29:06.429+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:30:06.431+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:31:06.430+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:32:06.431+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:33:06.432+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:34:06.432+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:35:06.433+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:36:06.433+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:37:06.436+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:38:06.435+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:39:06.437+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:40:06.437+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:41:06.436+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:42:06.437+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:43:06.437+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:44:06.438+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:45:06.439+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:46:06.441+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:47:06.440+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:48:06.440+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:49:06.441+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:50:06.442+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:51:06.442+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:52:06.443+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:53:06.445+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:54:06.444+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:55:06.446+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:56:06.447+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:57:06.446+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:58:06.448+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:59:06.448+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:00:06.449+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:01:06.449+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:02:06.450+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:03:06.451+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:04:06.450+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:05:06.452+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:06:06.453+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:07:06.453+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:08:06.453+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:09:06.453+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:10:06.454+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:11:06.454+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:12:06.455+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:13:06.455+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:14:06.458+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:15:06.457+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:16:06.460+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:17:06.459+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:18:06.459+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:19:06.460+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:20:06.461+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:21:06.463+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:22:06.462+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:23:06.465+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:24:06.464+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:25:06.465+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:26:06.465+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:27:06.466+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:28:06.466+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:29:06.467+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:30:06.467+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:31:06.467+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:32:06.468+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:33:06.468+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:34:06.468+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:35:06.469+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:36:06.470+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:37:06.470+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:38:06.470+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:39:06.471+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:40:06.471+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:41:06.472+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:42:06.473+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:43:06.475+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:44:06.475+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:45:06.476+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:46:06.477+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:47:06.477+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:48:06.477+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:49:06.477+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:50:06.477+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:51:06.479+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:52:06.480+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:53:06.480+0200 I COMMAND  [DataFileSync] flushing diag log
